"filename", "language", "Markdown", "JSON", "CSS", "JavaScript", "HTML", "XML", "JavaScript React", "comment", "blank", "total"
"d:\REACT JS\Projects\social_media\src\index.js", "JavaScript", 0, 0, 0, 15, 0, 0, 0, 3, 3, 21
"d:\REACT JS\Projects\social_media\src\logo.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\REACT JS\Projects\social_media\src\pages\HomePage\Home.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 18, 0, 2, 20
"d:\REACT JS\Projects\social_media\src\pages\HomePage\home.css", "CSS", 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"d:\REACT JS\Projects\social_media\src\pages\LoginPage\LoginPage.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 38, 1, 5, 44
"d:\REACT JS\Projects\social_media\src\pages\LoginPage\loginpage.css", "CSS", 0, 0, 80, 0, 0, 0, 0, 1, 3, 84
"d:\REACT JS\Projects\social_media\src\pages\Profile\Profile.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 44, 1, 11, 56
"d:\REACT JS\Projects\social_media\src\pages\Profile\profile.css", "CSS", 0, 0, 41, 0, 0, 0, 0, 0, 4, 45
"d:\REACT JS\Projects\social_media\src\pages\RegisterPage\RegisterPage.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 64, 1, 11, 76
"d:\REACT JS\Projects\social_media\src\pages\RegisterPage\registerPage.css", "CSS", 0, 0, 80, 0, 0, 0, 0, 1, 3, 84
"d:\REACT JS\Projects\social_media\src\pages\temp\Dipak.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 8, 0, 2, 10
"d:\REACT JS\Projects\social_media\src\reportWebVitals.js", "JavaScript", 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"d:\REACT JS\Projects\social_media\src\setupTests.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 4, 1, 6
"Total", "-", 38, 14074, 614, 779, 19, 1, 568, 154, 310, 16557
